Test Case ID,Template Target,Module,Case Type,Test Case Name,Precondition,Steps to Execute,Test Data (Narasi),Expected Result (Template Key),Actual Result (Template Key),Result (PASS/FAIL),Remark
TC-TPL-TC15,1101,Template Coverage Validation,negatif,Template[1101] — Narasi kualitas di QID produktivitas skor=1,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=1,Rekan saya menunjukkan standar kualitas yang baik dan selalu mengevaluasi pekerjaan serta memperbaiki kualitas hasil akhirnya. Komitmen kerjanya terhadap mutu produk sangat patut diapresiasi oleh selu...,1101,1101,PASS,-
TC-TPL-TC16,1110,Template Coverage Validation,negatif,Template[1110] — Pujian generik singkat skor=1,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=1,Rekan saya sangat baik dan menyenangkan diajak kerja.,1110,1110,PASS,-
TC-TPL-TC17,1111,Template Coverage Validation,negatif,Template[1111] — Produktivitas singkat di QID kualitas skor=1,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=1,Rekan saya sangat produktif dan selalu menyelesaikan tugas tepat waktu.,1111,1111,PASS,-
TC-TPL-LOG_F01,0100,Template Coverage Validation,positif,Genuine Fail [0100→1100] — Narasi negatif memicu d1=1 (missing coverag,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Rekan saya tidak pernah menunjukkan komitmen terhadap standar kualitas apapun. Hasil akhir pekerjaannya selalu buruk dan tidak pernah dilakukan evaluasi sama sekali. Saya sangat kecewa dengan kinerjan...,0100,1100,FAIL,"d1(E:0,A:1), key(E:0100,A:1100) | Genuine Fail: NLP gagal mendeteksi coverage (d1=1) karena sentimen kata negatif menurunkan cosine si"
TC-TPL-LOG_F02,0101,Template Coverage Validation,positif,Genuine Fail [0101→1100] — Narasi pasar negatif memicu d1=1 tapi gagal,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Saya kemarin ke pasar dan pedagangnya sama sekali tidak menjaga standar kualitas dagangannya. Komitmen kerja mereka rendah sekali dan kualitas hasil akhir produk sangat buruk. Evaluasi dan perbaikan k...,0101,1100,FAIL,"d1(E:0,A:1), d4(E:1,A:0), key(E:0101,A:1100) | Genuine Fail: D1 terpicu karena kata negatif, dan D4 gagal terpicu mungkin karena mutual exclusivity"
TC-TPL-LOG_F03,1001,Template Coverage Validation,negatif,Genuine Fail [1001→1100] — Narasi produktivitas skor 3 dianggap inkohe,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=3,Rekan saya cukup produktif dalam mengerjakan tugas-tugas yang diberikan oleh tim. Kontribusinya terhadap penyelesaian bagian proyek yang menjadi tanggung jawabnya cukup memadai meskipun tidak selalu t...,1001,1100,FAIL,"d2(E:0,A:1), d4(E:1,A:0), key(E:1001,A:1100) | Genuine Fail: Skor 3 dengan narasi 'cukup produktif' dianggap inkoheren oleh NLP (d2=1) dan gagal me"
TC-TPL-LOG_F04,0000,Template Coverage Validation,positif,Genuine Fail [0000→1000] — Narasi komunikasi ideal di QID komunikasi m,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,"Kualitas interaksi dan komunikasi rekan saya selama bekerja dalam tim sangat baik. Dia selalu menyampaikan informasi dengan jelas, efektif, dan tepat sasaran. Efektivitas komunikasinya membuat koordin...",0000,1000,FAIL,"d1(E:0,A:1), key(E:0000,A:1000) | Genuine Fail: Di QID Komunikasi, narasi yang tampaknya ideal ini tidak terdeteksi mencakup rubrik se"
TC-TPL-LOG_F05,0101,Template Coverage Validation,positif,Genuine Fail [0101→0001] — Pujian ekstrem skor=5 dianggap koheren (d2=,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Rekan saya adalah yang terbaik dalam hal komitmen kerja dan standar kualitas. Kualitas hasil akhir pekerjaannya selalu melampaui ekspektasi. Evaluasinya mendalam dan perbaikan yang dilakukan sangat si...,0101,0001,FAIL,"d2(E:1,A:0), key(E:0101,A:0001) | Genuine Fail: Dianggap sangat koheren (d2=0) meskipun skor 5 dan pujian sangat ekstrem."
BF-0010-01,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-1,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Kualitas pekerjaan sempurna.,0010,0011,FAIL,"d1=0, d2=0, d3=1, d4=1 | Hasil Aktual: 0011"
BF-0010-02,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-2,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Komitmen kerja tinggi.,0010,0011,FAIL,"d1=0, d2=0, d3=1, d4=1 | Hasil Aktual: 0011"
BF-0010-03,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-3,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Standar kualitas dijaga.,0010,1111,FAIL,"d1=1, d2=1, d3=1, d4=1 | Hasil Aktual: 1111"
BF-0010-04,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-4,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Hasil akhir sangat bagus.,0010,1011,FAIL,"d1=1, d2=0, d3=1, d4=1 | Hasil Aktual: 1011"
BF-0010-05,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-5,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Kualitas sangat tinggi.,0010,1011,FAIL,"d1=1, d2=0, d3=1, d4=1 | Hasil Aktual: 1011"
BF-0010-06,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-6,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Evaluasi selalu dilakukan.,0010,1010,FAIL,"d1=1, d2=0, d3=1, d4=0 | Hasil Aktual: 1010"
BF-0010-07,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-7,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Sangat menjaga kualitas.,0010,0011,FAIL,"d1=0, d2=0, d3=1, d4=1 | Hasil Aktual: 0011"
BF-0010-08,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-8,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Komitmen sangat kuat.,0010,1011,FAIL,"d1=1, d2=0, d3=1, d4=1 | Hasil Aktual: 1011"
BF-0010-09,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-9,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Kualitas hasil baik.,0010,1011,FAIL,"d1=1, d2=0, d3=1, d4=1 | Hasil Aktual: 1011"
BF-0010-10,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-10,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Perbaikan kualitas rutin.,0010,1111,FAIL,"d1=1, d2=1, d3=1, d4=1 | Hasil Aktual: 1111"
BF-0010-11,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-11,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Komitmen kerjanya terhadap standar kualitas sangat tinggi.,0010,0011,FAIL,"d1=0, d2=0, d3=1, d4=1 | Hasil Aktual: 0011"
BF-0010-12,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-12,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Hasil akhir pekerjaannya selalu dievaluasi dan kualitasnya luar biasa.,0010,0010,PASS,"d1=0, d2=0, d3=1, d4=0 | Hasil Aktual: 0010"
BF-0010-13,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-13,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Dia sangat menjaga standar kualitas dalam setiap pekerjaannya.,0010,0011,FAIL,"d1=0, d2=0, d3=1, d4=1 | Hasil Aktual: 0011"
BF-0010-14,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-14,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Evaluasi dan perbaikan kualitas pekerjaan rutin dilakukan.,0010,1011,FAIL,"d1=1, d2=0, d3=1, d4=1 | Hasil Aktual: 1011"
BF-0010-15,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-15,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Kualitas hasil akhir dari pekerjaannya sangat memuaskan.,0010,0011,FAIL,"d1=0, d2=0, d3=1, d4=1 | Hasil Aktual: 0011"
BF-0010-16,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-16,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Selalu memastikan kualitas pekerjaan mencapai standar tertinggi.,0010,0011,FAIL,"d1=0, d2=0, d3=1, d4=1 | Hasil Aktual: 0011"
BF-0010-17,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-17,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Standar mutu dijaga ketat dalam setiap evaluasi akhir.,0010,1010,FAIL,"d1=1, d2=0, d3=1, d4=0 | Hasil Aktual: 1010"
BF-0010-18,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-18,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Komitmen yang kuat untuk menghasilkan kualitas yang sempurna.,0010,0011,FAIL,"d1=0, d2=0, d3=1, d4=1 | Hasil Aktual: 0011"
BF-0010-19,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-19,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Hasil kerjanya bagus karena selalu berpedoman pada standar.,0010,1010,FAIL,"d1=1, d2=0, d3=1, d4=0 | Hasil Aktual: 1010"
BF-0010-20,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-20,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Evaluasi pekerjaan dilakukan demi menjaga kualitas hasil akhir.,0010,1011,FAIL,"d1=1, d2=0, d3=1, d4=1 | Hasil Aktual: 1011"
BF-0010-21,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-21,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Komitmen terhadap standar kualitas sangat baik. Kualitas hasil akhir memuaskan. Evaluasi dan perbaikan pekerjaan senantiasa dilakukan.,0010,0011,FAIL,"d1=0, d2=0, d3=1, d4=1 | Hasil Aktual: 0011"
BF-0010-22,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-22,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Pekerjaannya selalu dievaluasi. Kualitas hasil akhir sangat tinggi karena komitmen kerjanya tidak pernah menurun sepanjang proyek.,0010,0011,FAIL,"d1=0, d2=0, d3=1, d4=1 | Hasil Aktual: 0011"
BF-0010-23,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-23,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Selalu menjaga standar kualitas. Evaluasi akhir membuktikan bahwa komitmen kerjanya menghasilkan perbaikan mutu yang sangat memuaskan.,0010,0011,FAIL,"d1=0, d2=0, d3=1, d4=1 | Hasil Aktual: 0011"
BF-0010-24,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-24,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Tidak pernah mengabaikan standar kualitas. Evaluasi rutin dan perbaikan kualitas pekerjaan menjadi komitmen utamanya setiap saat.,0010,0011,FAIL,"d1=0, d2=0, d3=1, d4=1 | Hasil Aktual: 0011"
BF-0010-25,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-25,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Hasil akhirnya selalu bagus. Dia menunjukkan komitmen tinggi dalam menjaga standar kualitas dan rutin melakukan evaluasi.,0010,0010,PASS,"d1=0, d2=0, d3=1, d4=0 | Hasil Aktual: 0010"
BF-0010-26,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-26,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Mutu pekerjaannya tiada duanya. Dia sungguh berdedikasi tinggi terhadap mutu dan terus mengevaluasi kekurangannya.,0010,0010,PASS,"d1=0, d2=0, d3=1, d4=0 | Hasil Aktual: 0010"
BF-0010-27,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-27,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Standar mutu sangat prima. Dedikasi terhadap hasil akhir sangat baik. Selalu ada evaluasi mutu.,0010,0010,PASS,"d1=0, d2=0, d3=1, d4=0 | Hasil Aktual: 0010"
BF-0010-28,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-28,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Hasil kinerjanya sangat bermutu tinggi. Dia punya komitmen kuat pada standar pekerjaannya.,0010,0011,FAIL,"d1=0, d2=0, d3=1, d4=1 | Hasil Aktual: 0011"
BF-0010-29,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-29,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Pengecekan mutu selalu dilakukan. Hasil pekerjaannya sungguh luar biasa berkualitas tinggi dan bagus.,0010,0010,PASS,"d1=0, d2=0, d3=1, d4=0 | Hasil Aktual: 0010"
BF-0010-30,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-30,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Selalu melakukan perbaikan mutu. Komitmennya pada standar mutu sangat mengagumkan.,0010,0010,PASS,"d1=0, d2=0, d3=1, d4=0 | Hasil Aktual: 0010"
BF-0010-31,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-31,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Komitmen kerja. Standar kualitas. Kualitas hasil akhir. Evaluasi. Perbaikan.,0010,0011,FAIL,"d1=0, d2=0, d3=1, d4=1 | Hasil Aktual: 0011"
BF-0010-32,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-32,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Komitmen kerja tinggi. Standar kualitas tinggi. Kualitas hasil akhir tinggi. Evaluasi sering. Perbaikan sering.,0010,0011,FAIL,"d1=0, d2=0, d3=1, d4=1 | Hasil Aktual: 0011"
BF-0010-33,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-33,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Menjaga komitmen kerja. Menjaga standar kualitas. Menjaga kualitas hasil akhir. Melakukan evaluasi. Melakukan perbaikan.,0010,0011,FAIL,"d1=0, d2=0, d3=1, d4=1 | Hasil Aktual: 0011"
BF-0010-34,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-34,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,"Komitmen, standar, kualitas, hasil akhir, evaluasi, perbaikan.",0010,0011,FAIL,"d1=0, d2=0, d3=1, d4=1 | Hasil Aktual: 0011"
BF-0010-35,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-35,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Kualitas kualitas kualitas kualitas kualitas standar standar standar standar standar komitmen komitmen komitmen,0010,0111,FAIL,"d1=0, d2=1, d3=1, d4=1 | Hasil Aktual: 0111"
BF-0010-36,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-36,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Evaluasi kualitas hasil akhir evaluasi perbaikan kualitas standar komitmen kerja,0010,0011,FAIL,"d1=0, d2=0, d3=1, d4=1 | Hasil Aktual: 0011"
BF-0010-37,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-37,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Kualitas hasil akhir sangat berkualitas. Standar kualitas di atas standar. Komitmen kualitas tinggi.,0010,0010,PASS,"d1=0, d2=0, d3=1, d4=0 | Hasil Aktual: 0010"
BF-0010-38,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-38,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=1,Komitmen kerjanya sangat buruk. Standar kualitas diabaikan. Kualitas hasil akhir hancur. Evaluasi pekerjaan tidak ada.,0010,0010,PASS,"d1=0, d2=0, d3=1, d4=0 | Hasil Aktual: 0010"
BF-0010-39,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-39,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=1,Sama sekali tidak menjaga standar kualitas. Komitmennya nol. Kualitas hasil akhir sangat mengecewakan. Tanpa evaluasi.,0010,1010,FAIL,"d1=1, d2=0, d3=1, d4=0 | Hasil Aktual: 1010"
BF-0010-40,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-40,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=1,Kualitas pekerjaan sangat jelek. Standar kualitas sama sekali tidak dipatuhi. Tidak punya komitmen.,0010,0011,FAIL,"d1=0, d2=0, d3=1, d4=1 | Hasil Aktual: 0011"
BF-0010-41,0010,Bruteforce Test 0010,edge,Percobaan Bruteforce ke-41,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=1,Sangat buruk komitmennya terhadap standar kualitas. Hasil akhirnya sangat jelek dan tidak ada evaluasi.,0010,1010,FAIL,"d1=1, d2=0, d3=1, d4=0 | Hasil Aktual: 1010"
